French,English
car,because
importe,imported
cas,case
vont,are going
chaque,each
terre,earth
place,square
tué,kill
type,kind
main,hand
pardon,sorry
ensemble,together
seulement,only
guerre,war
beau,beautiful
vers,towards
mme,Mrs
prie,pray
devant,before
trouve,find
partie,part
suite,after
compris,understood
matin,morning
leurs,their
aucun,none
arrivé,come
dessus,above
chérie,dear
mettre,put
aide,assistance
étaient,were
ie,ie
perdu,lost
fin,end
sois,be
premier,first
genre,gender
aimerais,would like to
droit,right
donne,given
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,big
côté,side
venu,came
loin,far
laisser,let
donner,give
jouer,to play
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,power
aura,will have
mourir,die
dernière,last
donné,given
ia,IA
mari,husband
écoute,listen
enfin,finally
devrait,should
mis,put
film,film
aucune,none
fort,strong
façon,way
pays,country
prêt,ready
madame,madam
femmes,women
affaire,affair
pourrais,could
espère,hope
parti,left
h,h
boulot,gig
endroit,place
fou,mad
corps,body
hier,yesterday
dont,whose
désolée,sorry
grande,big
point,point
cinq,five
dehors,out
filles,girls
cause,cause
vivre,live
près,close
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,the one
demandé,demand
possible,possible
mains,hands
ainsi,Thus
quatre,four
nouvelle,news
années,years
plein,full
semaine,week
dites,say
croire,to believe
marche,walking
tour,round
école,school
manger,to eat
plutôt,instead
docteur,doctor
ceux,those
vérité,truth
vue,seen
arrêter,Stop
essaie,try
envie,urge
bientôt,soon
instant,moment
dernier,last
affaires,business
arriver,to arrive
demander,ask
meilleur,better
font,make
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,DR
tellement,so much
tomber,to fall
journée,daytime
voulait,wanted to
appeler,to call
bureau,desk
confiance,trust
garde,keep
attendre,expect
numéro,number
serai,will be
dur,hard
á,has
souviens,remember
o,o
voyez,see
cours,Classes
bonsoir,good evening
route,road
fera,will
prend,take
cul,ass
abord,on board
important,important
peine,sadness
croyais,believed
mot,word
devez,must
suffit,enough
minute,minute
ferme,closed
ben,ben
plaisir,pleasure
chien,dog 
jeu,Game
seigneur,lord
messieurs,gentlemen
calme,calm
voudrais,would like
heureux,happy
prenez,take
mariage,wedding
voit,sees
parents,parents
lls,lls
dedans,inside
entrer,walk in
lit,bed
parfait,perfect
fous,crazy
mlle,Ms
rentrer,to return
ait,has
musique,music
arrêtez,Stop
autant,as much
service,service
reviens,come back
ceci,this
drôle,funny
attend,waits
parfois,sometimes
téléphone,telephone
retour,return
ira,will go
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,think
l,I
impossible,impossible
fête,Party
adore,adore
coeur,heart
aimes,love
ci,this
ferai,will do
président,President
doute,doubt
facile,easy
